NOMBRE_LOCAL,UBICACION
1 DE COPAS (Ceuta),CENTRO COMERCIAL PARQUE CEUTA 2 -
15 ONCE (Miño),"RUA DA CARREIRA, 3 -"
2515 (A Coruña),"VILLA DE NEGREIRA, 51 -"
39 TAPAS ZAIDIA (Valencia),"Calle Visitacion, 33 - Valencia"
4 40 (Bilbao),"GENERAL CONCHA, 40 -"
4 ESTACIONES,"PLACITUELA DEL CUARTEL, 2 - Navas Del Rey"
6 Grados (A Coruña),"Monasterio Caaveiro, 6 - A Coruña"
67,"Calle CONCEPCION ARENAL ,67 - Narón"
@AYALA COMERCIAL,"DE LA INSTITUCION LIBRE DE ENSEÑANZA ,1 - Madrid"
@BAR SALON BEJAR (Bejar),"OBISPO ZARRANZ Y PUEYO, 4 -"
@BARAJAS SALON (Madrid),DE LAS ALAS 0023 -
@BINGO APHISA,"Calle MANUEL AZAÑA ,18 - Alcalá De Henares"
@BINGO CHAL CHAL (Zaragoza),"JOSE MARIA LACARRA DE MIGUEL, 6 -"
@BINGO IMPERIAL (Linea De La Concepcion),"ESPAÑA, 28 -"
@BINGO LA JONQUERA,"P.I. MAS Morato, Avinguda De Galícia, 2 - La Jonquera"
@BINGO LOS ROSALES (Línea De La Concepcion),Pio Baroja - La Línea De La Concepción
@BINGO PAUSE AND PLAY TERRASSA PLAÇA (Terrassa),"CANTABRIA, 13 -"
@BINGO SAN BLAS,"Calle POBLADURA DEL VALLE ,15 - Madrid"
@Bingo Gran Sur Leganes (Leganes),"Rey Juan Carlos I, 86-88 - Leganés"
@Bingo P Sala Bingo Oporto (Madrid),"OPORTO, 4 -"
@Bingo Ronda (A Coruña),"OUTEIRO, 253 -"
@C4sino Centro,"Julio Saez De La Hoya, 4 -"
@CAFETAL (Pamplona),"ESQUIROZ, 25 -"
@CASABLANCA (Ceuta),"Calle DELGADO SERRANO ,1 - Ceuta"
@CASINO ADMIRAL SAN ROQUE,Carretera Nacional 340 (Km 124 Cr Cadiz Malaga) -
@CASINO ADMIRAL SEVILLA (Tomares),"ARBOLEDA, 0 -"
@CASINO LA ESTACION (Torrejon De Ardoz),"ESTACION, S/N -"
@CASINO PARK BRAVO MURILLO,"Calle BRAVO MURILLO ,303 - Madrid"
@CEUTA CENTER,Calle GLORIETA DEL TENIENTE REINOSO S/N - Ceuta
@CHIQUINA LA,"MAYOR, 7 -"
@Casino Park Cigüeña (Logroño),"Calle CIGÜEÑA, 39 - Logroño"
@Colon (Vigo),"Calle COLON, 9 - Vigo"
@ELECTRONICS GIRONA,"Paseo CANALEJAS ,1 - Girona"
@Establecimiento De Juegos Europa,"Avenida Europa, 17 - Sonseca"
@FP LBO COLMENAR DE OREJA,"MADRID, 2 -"
@HADU,"Calle TENIENTE CORONEL GAUTIER ,26 - Ceuta"
@JACKPOT,"Calle CIRCUMVALACIO ,6 - Manresa"
@JANO SALON (Madrid),"Calle TOLEDO ,61 - Madrid"
@JOKER ADRA PASEO,"MARITIMO, 58 -"
@JOKER ALGECIRAS CARMEN,"DEL CARMEN, 61 -"
@JOKER ALGECIRAS PLAZA ANDALUCIA,ANDALUCIA -
@JOKER CORDOBA AEROPUERTO,"DEL AEROPUERTO, 5 -"
@JOKER CORDOBA AL-NASIR,"ALNASIR, 10 -"
@JOKER CORDOBA FORMENTERA (Cordoba),"ISLA FORMENTERA, 8 ESQ. ISLA DEL HIERRO -"
@JOKER CORDOBA GRANADA,"GRANADA, 15 -"
@JOKER EJIDO TENIENTE,"TENIENTE ARTURO MUÑOZ, 1 -"
@JOKER ESTEPONA CID,"CID, 6 -"
@JOKER HUELVA ITALIA,"DE ITALIA, 55 -"
@JOKER JAEN MADRID,"AVENIDA DE MADRID, 56 -"
@JOKER MALAGA PELAYO,"PELAYO, 1 -"
@JOKER MOJONERA EUROPA,"DE EUROPA, 200 -"
@JOKER MOTRIL ANCHA,"ANCHA, 34 -"
@JOKER SEVILLA ARJONA,"ARJONA, 10 -"
@Jackpot_EXTREMADURA,"Samaniego, 6 - Navalmoral De La Mata"
@LAS VEGAS,"Carretera VALENCIA ,58 - Motilla Del Palancar"
@LBO ALBACETE (Albacete),"Hermanos Jimenez, 3 - Albacete"
@LBO ARGANDA DEL REY,"Calle PILAR ,1 - Arganda Del Rey"
@LBO AVENIDA DE AMERICA (MADRID),"Avenida AMERICA, 7 - Madrid"
@LBO BADAIA,"BADAIA, 23 -"
@LBO BINEFAR (Binefar),"DE ARAGON, 14 -"
@LBO BOADILLA (Boadilla Del Monte),"Avenida INFANTE DE LUIS ,7 - Boadilla Del Monte"
@LBO CAMPAMENTO (Madrid),"GALICIA, 14 -"
@LBO CHORRILLO (Alcala De Henares),"Avenida Ajalvir, 2 -"
@LBO COLMENAR (Colmenar Viejo),"Calle REAL ,1 - Colmenar Viejo"
@LBO COLON (Logroño),"COLON, 6 -"
@LBO CORVERA ASTURIAS (Corvera),ARMANDO PALACIO VALDES 1 - Corvera
@LBO DAGANZO (Daganzo De Arriba),"PRINCIPE FELIPE, 18 -"
@LBO ESCORIAL (El Escorial),"Avenida De La Arboleda, 16 - El Escorial"
@LBO ETRURIA (Madrid),"ETRURIA, 3 -"
